,index,"0,1,","0,1,2,","0,1,2,3,","0,1,2,3,4,","0,1,2,4,","0,1,3,","0,1,3,4,","0,1,4,","0,2,","0,2,3,","0,2,3,4,","0,2,4,","0,3,","0,3,4","0,4,",
0,amount_yr0,3655885.41,1528295.34,1124336.2,5209667.21,482861.09,404406.92,335331.87,278396.7,1631608.53,246634.92,273684.57,146542.84,538437.1,227617.39,395075.69," $16,478,782 "
1,amount_yr1,3068061.26,1641129.66,1288298.15,7600274.21,541433.6,444217.5,371148.57,313141.03,0,0,0,0,0,0,0," $15,267,704 "
2,amount_yr2,0,1231026.1,1121177.56,7764373.84,523237,0,0,0,1074627.91,315060.81,390220.25,167583.92,0,0,0," $12,587,307 "
3,amount_yr3,0,0,871183.11,7927532.12,0,370153.49,449079.65,0,0,293009.9,489484.41,0,611542.04,386284.93,0," $11,398,270 "
4,amount_yr4,0,0,0,8169985.55,511597.68,0,473806.14,285465.61,0,0,540791.94,184624.84,0,457401.21,532082.25," $11,155,755 "
,,,,,,,,,,,,,,,,,
,index,"0,1,","0,1,2,","0,1,2,3,","0,1,2,3,4,","0,1,2,4,","0,1,3,","0,1,3,4,","0,1,4,","0,2,","0,2,3,","0,2,3,4,","0,2,4,","0,3,","0,3,4","0,4,",
0,amount_yr0,22%,9%,7%,32%,3%,2%,2%,2%,10%,1%,2%,1%,3%,1%,2%,
1,amount_yr1,20%,11%,8%,50%,4%,3%,2%,2%,0%,0%,0%,0%,0%,0%,0%,
2,amount_yr2,0%,10%,9%,62%,4%,0%,0%,0%,9%,3%,3%,1%,0%,0%,0%,
3,amount_yr3,0%,0%,8%,70%,0%,3%,4%,0%,0%,3%,4%,0%,5%,3%,0%,
4,amount_yr4,0%,0%,0%,73%,5%,0%,4%,3%,0%,0%,5%,2%,0%,4%,5%,
,,,,,,,,,,,,,,,,,
,,42%,30%,32%,286%,15%,9%,13%,6%,18%,7%,14%,4%,9%,9%,7%,
