,cohort_yr0_TF,cohort_yr1_TF,cohort_yr2_TF,cohort_yr3_TF,cohort_yr4_TF,id,perc_cohort_donors,yr0,yr1,yr2,yr3,yr4
0,T,TF,TFF,TFFF,TFFFF,1696680,0.8380512448667706,T,F,F,F,F
1,T,TF,TFF,TFFF,TFFFT,6912,0.003414085275077869,T,F,F,F,T
2,T,TF,TFF,TFFT,TFFTF,17619,0.008702657474189378,T,F,F,T,F
3,T,TF,TFF,TFFT,TFFTT,3108,0.0015351529275089723,T,F,F,T,T
4,T,TF,TFT,TFTF,TFTFF,44403,0.02193223791511612,T,F,T,F,F
5,T,TF,TFT,TFTF,TFTFT,2035,0.001005159654916589,T,F,T,F,T
6,T,TF,TFT,TFTT,TFTTF,7626,0.0037667555422083087,T,F,T,T,F
7,T,TF,TFT,TFTT,TFTTT,2735,0.0013509148187699613,T,F,T,T,T
8,T,TT,TTF,TTFF,TTFFF,162004,0.080019599378431,T,T,F,F,F
9,T,TT,TTF,TTFF,TTFFT,2994,0.0014788442293957088,T,T,F,F,T
10,T,TT,TTF,TTFT,TTFTF,8134,0.004017675003976184,T,T,F,T,F
11,T,TT,TTF,TTFT,TTFTT,2815,0.001390429694638918,T,T,F,T,T
12,T,TT,TTT,TTTF,TTTFF,37639,0.01859125516039582,T,T,T,F,F
13,T,TT,TTT,TTTF,TTTFT,2967,0.001465507958789936,T,T,T,F,T
14,T,TT,TTT,TTTT,TTTTF,13781,0.006806931304376174,T,T,T,T,F
15,T,TT,TTT,TTTT,TTTTT,13102,0.006471548795438402,T,T,T,T,T
