cohort,gift_year,cohort_gift_pattern,amount,no_donors
2013,0,T,30411763.6,320069
2014,0,T,26174282.52,320673
2015,0,T,30146878.32,355137
2016,0,T,36530214.52,445598
2017,0,T,37973770.48,434991
2018,0,T,11275859.66,147945
2013,1,TF,0,-257939
2013,1,TT,15267703.98,62130
2014,1,TF,0,-272006
2014,1,TT,7745897.26,48667
2015,1,TF,0,-309059
2015,1,TT,8280549.87,46078
2016,1,TF,0,-389060
2016,1,TT,10475760.27,56538
2017,1,TF,0,-405001
2017,1,TT,4549913.2,29990
2013,2,TFF,0,-241786
2013,2,TFT,1947492.89,16153
2013,2,TTF,0,-36050
2013,2,TTT,10639814.5,26080
2014,2,TFF,0,-256220
2014,2,TFT,1720387.1,15786
2014,2,TTF,0,-32928
2014,2,TTT,4717321.67,15739
2015,2,TFF,0,-292539
2015,2,TFT,1835616.24,16520
2015,2,TTF,0,-30755
2015,2,TTT,5608529.39,15323
2016,2,TFF,0,-380722
2016,2,TFT,763568.62,8338
2016,2,TTF,0,-46203
2016,2,TTT,2121971.4,10335
2013,3,TFFF,0,-232818
2013,3,TFFT,997826.97,8968
2013,3,TFTF,0,-11843
2013,3,TFTT,782494.31,4310
2013,3,TTFF,0,-31013
2013,3,TTFT,819233.14,5037
2013,3,TTTF,0,-11760
2013,3,TTTT,8798715.23,14320
2014,3,TFFF,0,-248000
2014,3,TFFT,853320.27,8220
2014,3,TFTF,0,-11850
2014,3,TFTT,753467.28,3936
2014,3,TTFF,0,-28755
2014,3,TTFT,610904.82,4173
2014,3,TTTF,0,-7778
2014,3,TTTT,3601162.65,7961
2015,3,TFFF,0,-289004
2015,3,TFFT,347577.51,3535
2015,3,TFTF,0,-14405
2015,3,TFTT,289215.12,2115
2015,3,TTFF,0,-29018
2015,3,TTFT,169344.46,1737
2015,3,TTTF,0,-10726
2015,3,TTTT,1523244.49,4597
2013,4,T,0,-227808
2013,4,TFFFT,532082.25,5010
2013,4,TFFT,0,-6773
2013,4,TFFTT,457401.21,2195
2013,4,TFT,0,-10390
2013,4,TFTFT,184624.84,1453
2013,4,TFTT,0,-2412
2013,4,TFTTT,540791.94,1898
2013,4,TT,0,-28817
2013,4,TTFFT,285465.61,2196
2013,4,TTFT,0,-3075
2013,4,TTFTT,473806.14,1962
2013,4,TTT,0,-9423
2013,4,TTTFT,511597.68,2337
2013,4,TTTT,0,-4442
2013,4,TTTTT,8169985.55,9878
2014,4,T,0,-246098
2014,4,TFFFT,158731.79,1902
2014,4,TFFT,0,-7307
2014,4,TFFTT,119255.53,913
2014,4,TFT,0,-11268
2014,4,TFTFT,60325.99,582
2014,4,TFTT,0,-3099
2014,4,TFTTT,152550.39,837
2014,4,TT,0,-27958
2014,4,TTFFT,75016.52,797
2014,4,TTFT,0,-3320
2014,4,TTFTT,131431.8,853
2014,4,TTT,0,-7150
2014,4,TTTFT,66830.01,628
2014,4,TTTT,0,-4741
2014,4,TTTTT,1110499.77,3220
